Time after synchronization (s),ADC I on primary,ADC Q on primary
0.000000000,888,456
0.000000010,988,424
0.000000020,884,320
0.000000030,700,140
0.000000040,620,224
0.000000050,744,328
0.000000060,904,456
0.000000070,944,408
0.000000080,804,272
0.000000090,632,52
0.000000100,660,196
0.000000110,748,432
0.000000120,984,524
0.000000130,876,412
0.000000140,700,236
0.000000150,588,152
0.000000160,668,252
0.000000170,908,476
0.000000180,972,484
0.000000190,880,268
0.000000200,712,124
0.000000210,656,132
0.000000220,776,348
0.000000230,976,564
0.000000240,972,432
0.000000250,768,160
0.000000260,588,96
0.000000270,668,232
0.000000280,872,436
0.000000290,1004,508
0.000000300,872,320
0.000000310,704,112
0.000000320,484,120
0.000000330,728,304
0.000000340,904,480
0.000000350,956,512
0.000000360,728,236
0.000000370,564,24
0.000000380,568,232
0.000000390,860,448
0.000000400,984,512
0.000000410,888,316
0.000000420,700,108
0.000000430,568,76
0.000000440,740,328
0.000000450,932,468
0.000000460,1036,380
0.000000470,768,164
0.000000480,580,28
0.000000490,600,248
0.000000500,928,500
0.000000510,968,588
0.000000520,864,312
0.000000530,620,92
0.000000540,584,92
0.000000550,724,356
0.000000560,1024,548
0.000000570,956,388
0.000000580,784,76
0.000000590,468,68
0.000000600,688,216
0.000000610,952,496
0.000000620,1020,560
0.000000630,824,264
0.000000640,500,76
0.000000650,544,172
0.000000660,820,392
0.000000670,976,544
0.000000680,904,344
0.000000690,644,76
0.000000700,512,64
0.000000710,696,388
0.000000720,1016,556
0.000000730,988,436
0.000000740,712,136
0.000000750,560,80
0.000000760,696,252
0.000000770,984,552
0.000000780,1084,572
0.000000790,816,236
0.000000800,540,16
0.000000810,572,196
0.000000820,884,448
0.000000830,1052,544
0.000000840,844,300
0.000000850,576,28
0.000000860,488,64
0.000000870,748,420
0.000000880,1024,576
0.000000890,944,400
0.000000900,648,80
0.000000910,472,44
0.000000920,688,340
0.000000930,1000,620
0.000000940,1028,540
0.000000950,728,92
0.000000960,536,-36
0.000000970,740,216
0.000000980,1064,568
0.000000990,1040,436
0.000001000,792,180
0.000001010,500,0
0.000001020,556,156
0.000001030,944,536
0.000001040,1044,548
0.000001050,820,232
0.000001060,456,20
0.000001070,544,136
0.000001080,880,576
0.000001090,1088,620
0.000001100,844,272
0.000001110,516,36
0.000001120,572,112
0.000001130,892,480
0.000001140,1060,648
0.000001150,900,276
0.000001160,500,-44
0.000001170,524,36
0.000001180,816,464
0.000001190,1080,612
0.000001200,908,324
0.000001210,552,8
0.000001220,504,52
0.000001230,780,476
0.000001240,1092,600
0.000001250,908,304
0.000001260,572,-36
0.000001270,492,52
0.000001280,776,396
0.000001290,1064,584
0.000001300,892,312
0.000001310,560,20
0.000001320,528,60
0.000001330,804,404
0.000001340,1100,596
0.000001350,896,360
0.000001360,536,20
0.000001370,500,32
0.000001380,848,480
0.000001390,1128,608
0.000001400,856,344
0.000001410,532,-8
0.000001420,512,68
0.000001430,920,528
0.000001440,1108,600
0.000001450,880,280
0.000001460,532,-44
0.000001470,548,132
0.000001480,904,496
0.000001490,1100,636
0.000001500,808,216
0.000001510,452,-48
0.000001520,540,144
0.000001530,952,540
0.000001540,1088,504
0.000001550,736,200
0.000001560,456,-80
0.000001570,592,196
0.000001580,1024,556
0.000001590,1108,548
0.000001600,696,132
0.000001610,448,-100
0.000001620,632,264
0.000001630,1040,668
0.000001640,1044,516
0.000001650,616,128
0.000001660,384,-32
0.000001670,728,288
0.000001680,1084,664
0.000001690,1040,424
0.000001700,548,-12
0.000001710,460,-16
0.000001720,788,456
0.000001730,1140,660
0.000001740,908,364
0.000001750,476,8
0.000001760,516,28
0.000001770,944,492
0.000001780,1180,624
0.000001790,824,168
0.000001800,424,-64
0.000001810,596,148
0.000001820,1008,652
0.000001830,1032,644
0.000001840,668,156
0.000001850,372,-52
0.000001860,668,232
0.000001870,1088,656
0.000001880,1060,468
0.000001890,604,20
0.000001900,448,-68
0.000001910,860,416
0.000001920,1096,684
0.000001930,880,340
0.000001940,444,-72
0.000001950,476,92
0.000001960,952,552
0.000001970,1128,604
0.000001980,720,152
0.000001990,428,-80
0.000002000,696,252
0.000002010,1056,612
0.000002020,1028,516
0.000002030,600,64
0.000002040,436,-4
0.000002050,820,376
0.000002060,1152,668
0.000002070,904,332
0.000002080,500,-52
0.000002090,512,80
0.000002100,968,560
0.000002110,1108,644
0.000002120,700,160
0.000002130,420,-96
0.000002140,692,276
0.000002150,1148,672
0.000002160,992,504
0.000002170,576,-12
0.000002180,496,44
0.000002190,960,472
0.000002200,1156,668
0.000002210,872,300
0.000002220,456,-64
0.000002230,612,200
0.000002240,1036,596
0.000002250,1032,528
0.000002260,624,44
0.000002270,448,-116
0.000002280,844,372
0.000002290,1156,644
0.000002300,816,304
0.000002310,432,-128
0.000002320,576,136
0.000002330,1092,616
0.000002340,1060,588
0.000002350,608,76
0.000002360,360,-72
0.000002370,792,412
0.000002380,1124,700
0.000002390,884,292
0.000002400,440,-88
0.000002410,608,108
0.000002420,1064,556
0.000002430,1068,532
0.000002440,616,84
0.000002450,504,-52
0.000002460,840,396
0.000002470,1100,656
0.000002480,864,292
0.000002490,340,-84
0.000002500,544,132
0.000002510,1132,548
0.000002520,1028,564
0.000002530,576,12
0.000002540,468,-60
0.000002550,868,408
0.000002560,1140,656
0.000002570,784,240
0.000002580,412,-96
0.000002590,676,216
0.000002600,1112,716
0.000002610,996,464
0.000002620,472,-56
0.000002630,484,8
0.000002640,972,576
0.000002650,1156,604
0.000002660,736,116
0.000002670,432,-32
0.000002680,764,312
0.000002690,1192,696
0.000002700,848,356
0.000002710,388,-144
0.000002720,588,36
0.000002730,1108,600
0.000002740,1108,596
0.000002750,476,4
0.000002760,484,-68
0.000002770,944,444
0.000002780,1240,688
0.000002790,688,252
0.000002800,376,-112
0.000002810,672,276
0.000002820,1160,664
0.000002830,936,384
0.000002840,412,-92
0.000002850,528,48
0.000002860,1104,600
0.000002870,1056,584
0.000002880,536,-8
0.000002890,408,-36
0.000002900,940,508
0.000002910,1176,704
0.000002920,732,152
0.000002930,388,-132
0.000002940,784,272
0.000002950,1164,776
0.000002960,856,356
0.000002970,364,-112
0.000002980,600,112
0.000002990,1096,696
0.000003000,1048,508
0.000003010,460,-92
0.000003020,456,-40
0.000003030,1008,520
0.000003040,1164,640
0.000003050,604,68
0.000003060,444,-112
0.000003070,888,492
0.000003080,1172,736
0.000003090,716,256
0.000003100,296,-136
0.000003110,740,224
0.000003120,1168,704
0.000003130,880,348
