Time after synchronization (s),ADC I on primary,ADC Q on primary
0.000000010,380,380
0.000000020,636,636
0.000000030,428,428
0.000000040,396,396
0.000000050,472,472
0.000000060,356,356
0.000000070,196,196
0.000000080,96,96
0.000000090,348,348
0.000000100,-96,-96
0.000000110,-116,-116
0.000000120,116,116
0.000000130,84,84
0.000000140,-136,-136
0.000000150,-280,-280
0.000000160,-376,-376
0.000000170,-684,-684
0.000000180,-688,-688
0.000000190,-524,-524
0.000000200,-408,-408
0.000000210,-220,-220
0.000000220,-500,-500
0.000000230,-480,-480
0.000000240,-844,-844
0.000000250,-568,-568
0.000000260,-516,-516
0.000000270,-680,-680
0.000000280,-560,-560
0.000000290,-616,-616
0.000000300,-432,-432
0.000000310,-376,-376
0.000000320,-180,-180
0.000000330,-8,-8
0.000000340,-396,-396
0.000000350,-220,-220
0.000000360,100,100
0.000000370,12,12
0.000000380,-16,-16
0.000000390,-112,-112
0.000000400,236,236
0.000000410,392,392
0.000000420,284,284
0.000000430,512,512
0.000000440,420,420
0.000000450,864,864
0.000000460,888,888
0.000000470,876,876
0.000000480,756,756
0.000000490,1060,1060
0.000000500,1188,1188
0.000000510,1208,1208
0.000000520,1164,1164
0.000000530,1220,1220
0.000000540,1680,1680
0.000000550,1696,1696
0.000000560,1552,1552
0.000000570,1844,1844
0.000000580,1652,1652
0.000000590,1940,1940
0.000000600,1588,1588
0.000000610,2084,2084
0.000000620,1648,1648
0.000000630,1676,1676
0.000000640,1792,1792
0.000000650,2084,2084
0.000000660,2188,2188
0.000000670,2156,2156
0.000000680,2616,2616
0.000000690,2352,2352
0.000000700,2672,2672
0.000000710,2188,2188
0.000000720,2192,2192
0.000000730,1980,1980
0.000000740,2740,2740
0.000000750,2152,2152
0.000000760,2248,2248
0.000000770,2248,2248
0.000000780,2340,2340
0.000000790,2648,2648
0.000000800,2352,2352
0.000000810,2216,2216
0.000000820,2032,2032
0.000000830,2088,2088
0.000000840,2096,2096
0.000000850,1816,1816
0.000000860,1704,1704
0.000000870,2244,2244
0.000000880,1792,1792
0.000000890,1728,1728
0.000000900,1732,1732
0.000000910,1420,1420
0.000000920,1492,1492
0.000000930,1356,1356
0.000000940,1152,1152
0.000000950,1064,1064
0.000000960,1184,1184
0.000000970,652,652
0.000000980,1064,1064
0.000000990,628,628
0.000001000,600,600
0.000001010,876,876
0.000001020,728,728
0.000001030,800,800
0.000001040,-8,-8
0.000001050,760,760
0.000001060,216,216
0.000001070,16,16
0.000001080,192,192
0.000001090,-176,-176
0.000001100,-32,-32
0.000001110,-276,-276
0.000001120,-44,-44
0.000001130,-436,-436
0.000001140,-220,-220
0.000001150,-536,-536
0.000001160,-436,-436
0.000001170,-704,-704
0.000001180,-416,-416
0.000001190,-344,-344
0.000001200,-132,-132
0.000001210,-424,-424
0.000001220,-192,-192
0.000001230,-812,-812
0.000001240,-852,-852
0.000001250,-480,-480
0.000001260,-556,-556
0.000001270,-292,-292
0.000001280,-448,-448
0.000001290,-120,-120
0.000001300,-328,-328
0.000001310,-68,-68
0.000001320,-376,-376
0.000001330,-480,-480
0.000001340,-20,-20
0.000001350,-144,-144
0.000001360,-432,-432
0.000001370,76,76
0.000001380,496,496
0.000001390,140,140
0.000001400,152,152
0.000001410,352,352
0.000001420,228,228
0.000001430,544,544
0.000001440,732,732
0.000001450,712,712
0.000001460,972,972
0.000001470,784,784
0.000001480,928,928
0.000001490,932,932
0.000001500,1264,1264
0.000001510,1292,1292
0.000001520,1300,1300
0.000001530,1344,1344
0.000001540,1168,1168
0.000001550,1368,1368
0.000001560,1708,1708
0.000001570,1564,1564
0.000001580,1744,1744
0.000001590,1808,1808
0.000001600,1936,1936
0.000001610,1920,1920
0.000001620,2268,2268
0.000001630,1876,1876
0.000001640,2296,2296
0.000001650,2296,2296
0.000001660,2296,2296
0.000001670,2140,2140
0.000001680,2232,2232
0.000001690,2092,2092
0.000001700,2480,2480
0.000001710,2336,2336
0.000001720,2380,2380
0.000001730,2524,2524
0.000001740,2552,2552
0.000001750,2156,2156
0.000001760,2016,2016
0.000001770,2224,2224
0.000001780,2320,2320
0.000001790,2032,2032
0.000001800,2264,2264
0.000001810,2272,2272
0.000001820,1844,1844
0.000001830,1908,1908
0.000001840,1952,1952
0.000001850,1992,1992
0.000001860,1904,1904
0.000001870,2072,2072
0.000001880,1692,1692
0.000001890,1340,1340
0.000001900,1428,1428
0.000001910,1712,1712
0.000001920,1512,1512
0.000001930,1224,1224
0.000001940,1240,1240
0.000001950,1156,1156
0.000001960,1000,1000
0.000001970,844,844
0.000001980,980,980
0.000001990,1024,1024
0.000002000,756,756
0.000002010,760,760
0.000002020,548,548
0.000002030,380,380
0.000002040,544,544
0.000002050,4,4
0.000002060,216,216
0.000002070,-84,-84
0.000002080,-116,-116
0.000002090,-136,-136
0.000002100,-248,-248
0.000002110,-236,-236
0.000002120,-204,-204
0.000002130,-268,-268
0.000002140,-420,-420
0.000002150,-324,-324
0.000002160,-80,-80
0.000002170,-576,-576
0.000002180,-40,-40
0.000002190,-628,-628
0.000002200,-468,-468
0.000002210,-596,-596
0.000002220,-728,-728
0.000002230,-608,-608
0.000002240,-532,-532
0.000002250,-748,-748
0.000002260,-420,-420
0.000002270,-644,-644
0.000002280,-528,-528
0.000002290,-452,-452
0.000002300,-516,-516
0.000002310,-220,-220
0.000002320,-148,-148
0.000002330,-348,-348
0.000002340,-240,-240
0.000002350,-96,-96
0.000002360,0,0
0.000002370,140,140
0.000002380,160,160
0.000002390,88,88
0.000002400,184,184
0.000002410,268,268
0.000002420,740,740
0.000002430,280,280
0.000002440,592,592
0.000002450,652,652
0.000002460,516,516
0.000002470,544,544
0.000002480,760,760
0.000002490,1048,1048
0.000002500,828,828
0.000002510,988,988
0.000002520,1024,1024
0.000002530,1216,1216
0.000002540,1296,1296
0.000002550,1376,1376
0.000002560,1332,1332
0.000002570,1524,1524
0.000002580,1776,1776
0.000002590,1716,1716
0.000002600,2012,2012
0.000002610,2016,2016
0.000002620,2256,2256
0.000002630,2080,2080
0.000002640,2028,2028
0.000002650,2044,2044
0.000002660,2188,2188
0.000002670,1760,1760
0.000002680,2172,2172
0.000002690,2436,2436
0.000002700,2208,2208
0.000002710,2356,2356
0.000002720,2360,2360
0.000002730,2396,2396
0.000002740,2388,2388
0.000002750,2328,2328
0.000002760,2332,2332
0.000002770,2576,2576
0.000002780,2248,2248
0.000002790,2188,2188
0.000002800,2128,2128
0.000002810,2228,2228
0.000002820,1632,1632
0.000002830,2140,2140
0.000002840,2096,2096
0.000002850,1788,1788
0.000002860,1684,1684
0.000002870,1772,1772
0.000002880,2080,2080
0.000002890,1788,1788
0.000002900,1612,1612
0.000002910,1488,1488
0.000002920,1244,1244
0.000002930,1164,1164
0.000002940,1136,1136
0.000002950,1220,1220
0.000002960,920,920
0.000002970,592,592
0.000002980,904,904
0.000002990,812,812
0.000003000,528,528
0.000003010,444,444
0.000003020,272,272
0.000003030,272,272
0.000003040,-32,-32
0.000003050,484,484
0.000003060,20,20
0.000003070,-152,-152
0.000003080,-264,-264
0.000003090,-220,-220
0.000003100,-272,-272
0.000003110,-476,-476
0.000003120,-424,-424
0.000003130,188,188
0.000003140,16,16
0.000003150,-428,-428
0.000003160,-56,-56
0.000003170,-576,-576
0.000003180,-500,-500
0.000003190,-664,-664
0.000003200,-300,-300
0.000003210,-316,-316
0.000003220,-508,-508
0.000003230,-688,-688
0.000003240,-172,-172
0.000003250,-376,-376
0.000003260,-412,-412
0.000003270,-232,-232
0.000003280,-624,-624
0.000003290,-456,-456
0.000003300,-388,-388
0.000003310,-72,-72
0.000003320,-472,-472
0.000003330,-40,-40
0.000003340,-44,-44
0.000003350,-304,-304
0.000003360,120,120
0.000003370,28,28
0.000003380,28,28
0.000003390,320,320
0.000003400,264,264
0.000003410,388,388
0.000003420,180,180
0.000003430,828,828
0.000003440,292,292
0.000003450,532,532
0.000003460,1040,1040
0.000003470,864,864
0.000003480,868,868
0.000003490,1168,1168
0.000003500,1208,1208
0.000003510,1076,1076
0.000003520,1252,1252
0.000003530,1140,1140
0.000003540,1236,1236
0.000003550,1084,1084
0.000003560,1408,1408
0.000003570,1516,1516
0.000003580,1728,1728
0.000003590,1908,1908
0.000003600,1880,1880
0.000003610,1924,1924
0.000003620,1608,1608
0.000003630,1968,1968
0.000003640,2160,2160
0.000003650,1640,1640
0.000003660,2156,2156
0.000003670,2116,2116
0.000003680,2584,2584
0.000003690,2344,2344
0.000003700,2056,2056
0.000003710,2200,2200
0.000003720,2300,2300
0.000003730,2376,2376
0.000003740,2232,2232
0.000003750,2148,2148
0.000003760,2332,2332
0.000003770,2528,2528
0.000003780,1984,1984
0.000003790,2012,2012
0.000003800,1996,1996
0.000003810,1864,1864
0.000003820,1936,1936
0.000003830,2000,2000
0.000003840,1848,1848
0.000003850,2148,2148
0.000003860,1820,1820
0.000003870,1820,1820
0.000003880,1432,1432
0.000003890,1548,1548
0.000003900,1664,1664
0.000003910,1220,1220
0.000003920,1272,1272
0.000003930,1364,1364
0.000003940,1220,1220
0.000003950,1148,1148
0.000003960,908,908
0.000003970,764,764
0.000003980,668,668
0.000003990,1024,1024
0.000004000,828,828
0.000004010,744,744
0.000004020,436,436
0.000004030,584,584
0.000004040,552,552
0.000004050,580,580
0.000004060,44,44
0.000004070,80,80
0.000004080,448,448
0.000004090,112,112
0.000004100,-100,-100
0.000004110,-76,-76
0.000004120,212,212
0.000004130,-276,-276
0.000004140,-216,-216
0.000004150,-412,-412
0.000004160,-344,-344
0.000004170,-440,-440
0.000004180,-484,-484
0.000004190,-628,-628
0.000004200,-680,-680
0.000004210,-500,-500
0.000004220,-540,-540
0.000004230,-180,-180
0.000004240,-452,-452
0.000004250,-616,-616
0.000004260,-508,-508
0.000004270,-476,-476
0.000004280,-108,-108
0.000004290,-736,-736
0.000004300,-528,-528
0.000004310,40,40
0.000004320,-392,-392
