Time after synchronization (s),ADC I on secondary,ADC Q on secondary
0.000000010,928,-532
0.000000020,236,-608
0.000000030,360,-616
0.000000040,-52,-456
0.000000050,328,-588
0.000000060,380,-48
0.000000070,748,-260
0.000000080,500,80
0.000000090,92,-308
0.000000100,-216,312
0.000000110,684,-60
0.000000120,752,-292
0.000000130,352,-148
0.000000140,864,-96
0.000000150,552,-412
0.000000160,352,-508
0.000000170,348,88
0.000000180,612,296
0.000000190,548,268
0.000000200,624,28
0.000000210,116,-344
0.000000220,672,-120
0.000000230,616,-416
0.000000240,308,-388
0.000000250,340,168
0.000000260,332,-116
0.000000270,644,-140
0.000000280,480,60
0.000000290,956,-412
0.000000300,412,-160
0.000000310,504,76
0.000000320,516,-656
0.000000330,592,-144
0.000000340,640,96
0.000000350,916,64
0.000000360,396,-376
0.000000370,308,304
0.000000380,320,-600
0.000000390,652,-80
0.000000400,156,-76
0.000000410,616,108
0.000000420,600,36
0.000000430,796,396
0.000000440,416,-488
0.000000450,1004,-124
0.000000460,344,232
0.000000470,348,-508
0.000000480,60,-304
0.000000490,752,-132
0.000000500,156,-684
0.000000510,296,440
0.000000520,576,-856
0.000000530,96,-452
0.000000540,396,-48
0.000000550,664,-316
0.000000560,592,172
0.000000570,868,-180
0.000000580,296,-64
0.000000590,308,480
0.000000600,400,452
0.000000610,908,176
0.000000620,668,-232
0.000000630,-232,40
0.000000640,428,392
0.000000650,268,-244
0.000000660,860,-396
0.000000670,680,-528
0.000000680,248,84
0.000000690,224,120
0.000000700,412,-44
0.000000710,268,-224
0.000000720,768,-392
0.000000730,824,44
0.000000740,488,216
0.000000750,760,-664
0.000000760,500,-96
0.000000770,296,-4
0.000000780,132,252
0.000000790,176,-60
0.000000800,448,-92
0.000000810,760,-624
0.000000820,156,44
0.000000830,992,228
0.000000840,916,-772
0.000000850,532,-44
0.000000860,44,-492
0.000000870,476,420
0.000000880,360,-172
0.000000890,-80,-344
0.000000900,120,-352
0.000000910,804,-468
0.000000920,628,52
0.000000930,84,756
0.000000940,188,-120
0.000000950,472,264
0.000000960,256,-316
0.000000970,224,-704
0.000000980,416,708
0.000000990,1000,-204
0.000001000,492,-344
0.000001010,788,212
0.000001020,56,-364
0.000001030,712,-460
0.000001040,376,-136
0.000001050,180,60
0.000001060,192,172
0.000001070,384,-184
0.000001080,488,-280
0.000001090,304,-508
0.000001100,120,-364
0.000001110,764,-428
0.000001120,268,-328
0.000001130,740,340
0.000001140,436,-324
0.000001150,492,-660
0.000001160,508,-272
0.000001170,1020,-32
0.000001180,176,-520
0.000001190,636,116
0.000001200,440,-384
0.000001210,424,24
0.000001220,444,80
0.000001230,448,-68
0.000001240,704,-324
0.000001250,852,-408
0.000001260,640,-316
0.000001270,636,-96
0.000001280,656,-8
0.000001290,276,92
0.000001300,128,-548
0.000001310,456,-32
0.000001320,-64,-560
0.000001330,616,-328
0.000001340,148,-444
0.000001350,184,-416
0.000001360,664,184
0.000001370,496,-20
0.000001380,304,-368
0.000001390,352,-512
0.000001400,144,216
0.000001410,136,-152
0.000001420,244,48
0.000001430,604,-636
0.000001440,708,-448
0.000001450,156,-248
0.000001460,328,76
0.000001470,228,-228
0.000001480,776,-356
0.000001490,408,-208
0.000001500,232,-288
0.000001510,648,72
0.000001520,636,96
0.000001530,0,-300
0.000001540,188,-504
0.000001550,308,328
0.000001560,276,-368
0.000001570,672,-56
0.000001580,244,-520
0.000001590,784,-284
0.000001600,680,80
0.000001610,252,36
0.000001620,464,-364
0.000001630,964,176
0.000001640,540,272
0.000001650,-256,-960
0.000001660,468,-860
0.000001670,524,-228
0.000001680,708,-568
0.000001690,596,-248
0.000001700,1172,-304
0.000001710,28,348
0.000001720,456,356
0.000001730,316,100
0.000001740,876,200
0.000001750,700,-344
0.000001760,872,-184
0.000001770,680,-312
0.000001780,660,12
0.000001790,564,-604
0.000001800,676,8
0.000001810,316,-760
0.000001820,400,-460
0.000001830,320,-364
0.000001840,364,-196
0.000001850,624,-832
0.000001860,856,-312
0.000001870,144,-444
0.000001880,992,-688
0.000001890,548,-380
0.000001900,248,-372
0.000001910,268,48
0.000001920,560,-724
0.000001930,404,212
0.000001940,52,-212
0.000001950,548,-340
0.000001960,464,264
0.000001970,816,-284
0.000001980,796,228
0.000001990,816,-244
0.000002000,-32,-320
0.000002010,676,-368
0.000002020,488,-592
0.000002030,728,-284
0.000002040,472,-512
0.000002050,1040,-636
0.000002060,392,-444
